produce_type,color,size,ripeness,moisture_loss,blemish_ratio,density_score,grade
cucumber,96.9,80.57,61.76,35.28,0.041,69.3,B
banana,85.28,88.27,90.22,18.32,0.197,84.58,A
cucumber,76.86,76.59,57.79,39.56,0.208,63.83,C
apple,73.26,96.14,79.19,35.64,0.276,86.21,B
tomato,81.85,87.22,100.0,0.0,0.224,94.65,A
banana,54.43,91.25,96.28,0.0,0.455,85.14,C
tomato,93.72,76.4,58.26,43.12,0.037,64.98,C
apple,89.09,68.06,61.51,39.41,0.158,70.98,C
carrot,92.06,72.59,100.0,0.0,0.146,83.01,B
carrot,100.0,89.1,59.74,37.12,0.039,79.68,C
apple,78.67,91.1,78.11,14.13,0.173,85.78,A
cucumber,96.23,100.0,88.47,13.25,0.075,90.9,A
apple,65.64,67.02,81.34,19.78,0.378,76.91,C
cucumber,81.64,88.68,75.32,27.16,0.147,83.85,A
orange,67.95,82.62,66.02,30.82,0.264,80.65,B
carrot,93.99,88.45,100.0,0.0,0.212,93.09,A
banana,72.03,86.47,89.37,9.95,0.369,89.11,B
banana,82.06,71.09,82.7,16.5,0.149,73.01,B
apple,74.05,64.52,64.83,34.86,0.287,67.45,C
apple,88.15,74.26,81.45,13.3,0.088,73.27,B
apple,93.96,90.26,91.63,8.61,0.099,82.14,A
carrot,90.95,84.13,86.03,16.25,0.041,77.59,A
banana,86.47,90.28,54.11,40.0,0.099,70.41,C
orange,57.57,64.94,62.85,37.67,0.365,63.31,C
orange,58.47,79.52,92.4,5.09,0.387,91.78,C
apple,73.41,95.25,82.86,15.08,0.29,90.66,B
apple,69.77,82.49,75.02,29.21,0.251,83.84,B
tomato,84.99,66.2,95.33,18.07,0.2,87.9,C
carrot,53.08,59.87,80.08,16.37,0.423,69.66,C
carrot,87.23,64.57,68.82,40.24,0.074,71.04,C
orange,86.19,95.17,87.86,17.59,0.081,97.08,A
cucumber,65.21,85.11,80.13,22.78,0.365,78.4,B
cucumber,91.09,84.23,94.39,5.34,0.019,94.14,A
cucumber,72.44,86.1,65.64,44.23,0.232,74.19,B
orange,61.62,85.97,100.0,0.0,0.404,79.24,C
orange,77.42,78.24,62.9,43.58,0.21,69.69,B
apple,49.25,68.42,91.38,0.0,0.469,77.9,C
orange,100.0,91.22,67.09,40.74,0.0,84.2,B
cucumber,94.1,77.13,59.54,39.15,0.073,65.86,C
cucumber,86.31,75.0,85.93,16.73,0.134,78.26,B
apple,86.25,100.0,91.03,14.83,0.292,98.1,A
apple,85.27,90.45,59.86,37.48,0.122,78.39,C
banana,80.07,95.05,89.81,9.22,0.166,98.11,A
tomato,89.61,62.72,70.99,30.0,0.143,71.41,C
cucumber,86.78,82.77,65.22,33.21,0.133,73.82,B
cucumber,49.72,77.23,76.9,21.41,0.49,79.5,C
banana,53.58,77.82,88.23,21.9,0.503,75.68,C
carrot,74.51,85.08,78.84,24.39,0.209,82.29,B
orange,90.39,72.33,70.48,13.3,0.065,68.78,B
apple,62.71,83.99,75.1,11.34,0.384,74.9,C
apple,58.77,82.36,71.47,30.35,0.419,75.64,C
cucumber,54.96,64.27,66.66,33.29,0.42,68.59,C
carrot,63.52,78.66,79.61,22.34,0.459,75.79,C
tomato,76.9,87.11,75.63,21.37,0.154,78.82,A
banana,52.1,72.45,59.25,44.26,0.509,61.33,C
tomato,74.1,59.7,68.09,34.3,0.3,60.33,C
carrot,55.26,67.03,87.35,22.67,0.472,76.99,C
tomato,45.07,57.73,78.07,19.78,0.494,68.23,C
tomato,92.17,83.64,95.65,4.39,0.073,94.97,A
cucumber,63.32,100.0,82.0,20.28,0.393,100.0,C
carrot,53.92,98.84,70.55,30.1,0.397,87.32,C
carrot,68.23,83.2,71.45,40.1,0.417,77.56,B
cucumber,72.4,95.27,70.74,26.73,0.325,80.31,B
carrot,77.43,63.02,87.27,24.38,0.262,82.45,C
cucumber,81.54,70.68,72.36,32.28,0.19,64.46,B
tomato,58.27,65.43,83.86,28.52,0.485,65.16,C
orange,92.05,63.46,71.15,35.42,0.107,60.76,C
orange,87.16,56.35,72.43,34.39,0.129,61.9,C
banana,92.62,97.72,89.99,16.5,0.11,95.18,A
apple,79.34,79.15,56.6,37.67,0.192,69.08,C
carrot,77.37,94.04,93.27,5.34,0.256,92.44,A
tomato,97.83,89.63,56.95,44.02,0.104,72.39,C
banana,86.19,69.56,84.17,7.47,0.107,82.24,C
tomato,83.35,78.35,83.14,16.5,0.167,84.03,B
orange,78.61,78.25,50.63,43.85,0.292,66.37,C
tomato,58.15,63.52,74.21,35.16,0.409,75.4,C
apple,85.07,65.97,91.0,6.99,0.192,74.42,C
banana,80.66,86.22,73.54,28.89,0.18,76.63,A
apple,93.73,72.87,85.1,10.45,0.003,84.15,B
cucumber,52.44,93.12,71.96,26.77,0.496,85.45,C
banana,88.77,83.36,55.9,43.08,0.181,78.01,C
cucumber,88.76,67.72,83.85,21.26,0.149,79.71,C
apple,76.91,74.7,45.63,56.4,0.24,62.95,C
orange,57.94,89.74,100.0,0.47,0.418,96.42,C
tomato,62.65,84.44,63.21,33.51,0.371,80.56,C
carrot,100.0,87.38,69.97,44.98,0.0,75.82,B
tomato,98.94,93.62,100.0,0.0,0.083,97.16,A
banana,90.09,62.23,99.49,5.23,0.097,84.08,C
banana,69.31,76.44,46.36,58.81,0.366,57.89,C
banana,83.22,78.81,81.25,14.98,0.124,85.29,B
carrot,100.0,82.56,61.18,46.18,0.032,75.5,B
carrot,95.86,74.17,73.96,25.01,0.0,72.75,B
carrot,81.56,65.85,51.11,58.88,0.18,55.24,C
tomato,73.89,64.27,98.77,0.0,0.329,81.78,C
carrot,81.85,92.24,87.51,16.23,0.199,88.71,A
orange,100.0,71.12,76.07,24.02,0.02,71.45,B
apple,75.47,63.02,76.15,17.24,0.159,70.27,C
banana,85.32,88.32,85.07,3.33,0.079,96.57,A
banana,87.16,73.76,77.27,18.93,0.156,76.2,B
tomato,71.28,69.4,80.28,12.44,0.309,87.97,C
carrot,88.78,80.97,44.98,47.09,0.176,59.03,C
cucumber,67.51,80.01,59.01,33.63,0.322,65.05,C
carrot,66.28,88.27,72.29,26.64,0.367,79.57,B
apple,73.83,87.65,86.69,12.43,0.266,83.26,B
banana,89.54,87.34,83.28,18.4,0.107,88.79,A
banana,92.03,92.93,74.39,33.93,0.091,86.82,A
tomato,81.71,73.17,87.22,29.85,0.164,80.55,B
carrot,71.31,76.14,100.0,0.0,0.263,80.13,B
orange,52.37,89.58,100.0,0.0,0.393,99.29,C
orange,67.1,97.59,71.49,24.72,0.32,88.33,B
cucumber,70.55,79.61,55.65,46.73,0.205,65.41,C
tomato,89.39,85.64,85.45,14.16,0.165,90.16,A
carrot,91.91,91.01,68.97,22.97,0.102,82.72,B
carrot,94.36,70.76,61.5,41.26,0.053,56.7,B
tomato,50.21,70.66,97.63,13.32,0.437,82.49,C
tomato,78.64,100.0,68.11,29.02,0.291,82.18,B
carrot,55.84,79.95,49.45,44.22,0.484,64.45,C
carrot,73.21,73.02,72.47,29.34,0.317,59.62,B
banana,80.39,80.81,82.45,19.15,0.181,79.0,A
apple,74.32,95.78,64.29,35.34,0.266,87.84,B
cucumber,92.38,96.78,74.98,23.76,0.06,84.6,A
banana,90.81,84.77,79.76,13.48,0.043,92.99,A
orange,66.38,99.17,80.51,22.96,0.329,88.25,B
tomato,75.46,65.41,74.59,27.18,0.338,70.43,C
tomato,76.59,100.0,89.86,5.27,0.264,91.22,A
orange,57.69,77.82,77.46,11.3,0.366,77.69,C
banana,83.92,67.42,87.43,5.47,0.243,68.85,C
apple,61.61,87.01,100.0,1.89,0.412,93.59,C
carrot,70.65,67.46,55.54,46.87,0.237,63.1,C
orange,58.47,85.56,68.18,40.26,0.431,83.05,C
apple,78.84,70.23,69.38,29.05,0.175,63.73,B
tomato,56.8,53.92,59.1,44.67,0.352,49.67,C
orange,68.45,85.85,86.28,17.7,0.239,84.91,B
orange,53.73,100.0,50.48,43.23,0.411,67.76,C
orange,100.0,76.29,54.87,31.71,0.0,64.0,C
banana,68.23,84.66,82.32,19.62,0.302,77.98,B
cucumber,78.19,92.66,88.64,2.83,0.146,86.87,A
cucumber,62.16,91.06,81.62,24.97,0.398,87.39,C
tomato,85.05,82.82,99.69,1.0,0.134,87.06,A
carrot,88.55,96.84,75.19,32.66,0.016,85.74,A
apple,67.1,100.0,74.94,22.61,0.33,77.46,B
banana,66.6,93.8,65.94,29.09,0.399,86.57,B
banana,71.17,79.13,63.13,30.9,0.236,68.04,B
orange,62.48,63.24,79.51,21.9,0.46,68.03,C
banana,82.69,78.95,87.91,16.74,0.189,82.15,B
banana,72.64,65.59,63.11,33.16,0.217,66.55,C
carrot,64.38,85.4,59.45,38.72,0.322,75.44,C
banana,67.82,94.14,72.07,24.03,0.259,84.37,B
banana,82.1,100.0,98.88,0.0,0.163,100.0,A
cucumber,65.43,96.0,81.79,19.75,0.38,97.5,B
orange,76.3,100.0,91.48,6.59,0.237,96.72,A
cucumber,83.43,65.72,51.32,43.36,0.117,55.3,C
carrot,75.47,84.36,56.41,40.82,0.275,73.36,C
apple,67.13,83.94,100.0,0.0,0.294,91.1,B
cucumber,75.73,81.62,52.9,41.32,0.235,66.44,C
apple,69.51,79.88,76.98,28.36,0.3,80.42,B
carrot,86.58,86.51,89.85,14.43,0.164,87.69,A
cucumber,81.67,94.76,65.57,30.66,0.192,82.24,B
orange,76.88,80.87,40.56,58.13,0.223,59.91,C
apple,99.24,67.41,62.81,21.52,0.0,63.13,C
cucumber,94.62,92.33,77.25,20.53,0.105,84.69,A
banana,65.73,61.41,68.94,35.59,0.457,65.48,C
apple,60.23,88.62,47.77,55.54,0.439,70.38,C
apple,74.71,88.78,78.74,16.6,0.345,82.0,B
carrot,41.72,97.32,99.5,0.68,0.611,100.0,C
cucumber,68.36,88.57,63.06,33.29,0.373,80.69,B
cucumber,67.0,74.25,87.72,6.28,0.348,84.72,B
orange,76.68,94.12,71.13,27.59,0.184,87.71,A
banana,83.25,81.14,59.16,37.19,0.237,71.16,C
orange,62.86,85.66,73.66,47.06,0.386,77.76,C
carrot,50.38,83.13,100.0,0.0,0.409,89.59,C
apple,99.82,86.51,62.58,33.31,0.0,76.35,B
orange,93.79,87.47,54.69,37.34,0.089,64.36,C
tomato,74.62,85.65,57.8,36.06,0.249,74.24,C
carrot,87.11,82.88,64.06,29.51,0.103,75.52,B
apple,83.05,56.8,63.43,43.8,0.173,53.03,C
cucumber,77.57,86.61,82.39,15.4,0.188,95.11,A
tomato,93.05,91.86,85.22,8.76,0.133,84.33,A
tomato,53.41,57.51,81.09,14.05,0.366,72.0,C
carrot,100.0,98.67,71.88,28.17,0.044,90.89,A
orange,78.51,85.61,84.86,14.34,0.209,92.13,A
apple,96.14,87.73,100.0,0.0,0.12,96.58,A
cucumber,60.11,73.73,82.7,19.68,0.496,74.87,C
carrot,91.57,95.95,87.27,6.96,0.155,97.76,A
apple,81.07,84.71,74.74,29.1,0.191,75.48,A
cucumber,62.27,72.98,79.55,20.28,0.388,78.77,C
banana,99.98,78.79,69.07,33.83,0.0,69.97,B
orange,92.72,61.15,93.88,15.19,0.054,78.98,C
orange,71.0,92.41,65.26,31.87,0.25,80.55,B
carrot,95.37,79.79,55.66,37.84,0.066,76.95,C
banana,72.2,91.19,72.17,25.56,0.23,88.72,B
cucumber,39.91,91.57,68.58,28.96,0.685,76.51,C
banana,76.04,86.97,68.93,21.63,0.196,84.35,B
cucumber,79.12,87.41,71.82,24.23,0.293,78.67,A
banana,94.44,73.33,66.48,33.58,0.056,71.21,B
orange,100.0,86.03,37.95,64.01,0.002,62.21,C
apple,77.57,81.37,85.81,10.94,0.177,98.71,A
orange,67.26,83.2,52.07,48.63,0.281,65.42,C
banana,85.08,88.82,47.66,63.36,0.09,75.88,C
carrot,93.32,88.93,62.32,38.59,0.043,75.77,B
orange,47.42,95.46,74.7,22.39,0.498,86.87,C
carrot,64.59,54.94,82.51,20.6,0.344,62.99,C
apple,56.03,69.67,63.99,41.07,0.422,64.59,C
orange,100.0,86.23,81.42,16.36,0.0,72.89,A
banana,84.72,79.85,73.8,30.61,0.075,73.88,B
orange,60.96,100.0,90.01,0.0,0.315,94.34,C
carrot,58.13,100.0,81.0,21.85,0.384,94.11,C
apple,72.29,78.6,85.78,4.45,0.357,83.1,B
tomato,61.87,70.92,57.41,44.09,0.385,61.84,C
tomato,62.79,66.8,75.22,21.98,0.338,78.75,C
carrot,97.05,75.6,79.92,19.75,0.0,84.9,B
cucumber,75.97,90.96,63.97,35.04,0.197,83.64,B
tomato,83.51,98.3,94.5,10.09,0.094,92.92,A
cucumber,62.94,90.73,78.73,12.93,0.361,77.26,C
cucumber,53.17,88.35,82.05,29.4,0.511,83.08,C
apple,90.27,65.23,60.6,41.4,0.0,62.73,C
carrot,79.52,69.07,82.79,17.33,0.275,75.96,C
orange,66.47,79.04,54.49,47.94,0.365,79.11,C
banana,73.98,75.09,79.39,22.9,0.258,82.67,B
tomato,68.75,93.83,84.62,15.31,0.297,100.0,B
orange,82.47,73.0,100.0,5.32,0.141,89.06,B
tomato,81.87,75.8,88.13,14.21,0.192,81.76,B
orange,81.44,82.71,65.74,44.42,0.133,76.36,B
tomato,73.2,100.0,61.54,34.04,0.22,82.39,B
cucumber,70.82,56.17,79.85,17.15,0.217,73.44,C
carrot,58.38,91.56,64.78,44.83,0.454,73.13,C
tomato,87.08,78.85,73.29,34.34,0.092,76.53,B
tomato,92.32,91.71,73.45,24.82,0.0,77.3,A
banana,75.93,82.9,92.63,0.25,0.229,88.71,A
apple,67.44,99.18,90.54,11.2,0.415,87.36,B
apple,83.5,71.03,80.81,12.55,0.2,81.21,B
carrot,82.09,59.77,60.53,42.86,0.18,46.68,C
orange,80.05,72.17,91.92,4.02,0.165,83.84,B
tomato,100.0,100.0,81.76,21.02,0.04,84.59,A
orange,73.4,89.73,64.25,37.66,0.255,79.5,B
tomato,79.77,45.12,78.86,24.99,0.225,61.48,C
carrot,82.67,87.25,92.71,9.46,0.128,77.79,A
banana,70.84,91.13,70.35,34.46,0.299,87.18,B
cucumber,85.01,88.07,100.0,0.0,0.127,98.28,A
tomato,100.0,84.88,71.32,33.23,0.043,76.3,A
cucumber,95.71,100.0,87.88,12.38,0.04,96.73,A
banana,76.26,84.28,59.07,48.71,0.18,69.51,C
banana,100.0,76.93,65.34,31.35,0.083,57.07,B
cucumber,62.96,100.0,85.45,7.91,0.368,93.06,C
banana,100.0,86.66,67.36,37.36,0.0,71.85,B
banana,51.6,63.22,61.66,31.28,0.5,56.44,C
tomato,62.34,76.34,66.31,42.8,0.346,75.73,C
cucumber,77.72,81.49,62.63,37.01,0.185,72.91,B
cucumber,63.83,93.9,82.83,14.48,0.369,87.95,C
carrot,64.99,82.85,66.06,28.27,0.269,72.66,C
cucumber,67.58,100.0,90.17,17.66,0.364,100.0,B
orange,66.19,51.27,68.86,34.49,0.346,61.44,C
orange,83.73,91.59,60.97,32.46,0.243,76.78,B
apple,68.65,74.54,65.61,30.13,0.249,62.58,B
tomato,69.11,95.29,80.69,20.9,0.272,87.38,B
orange,83.42,90.59,74.5,31.98,0.166,86.51,A
cucumber,50.81,85.22,87.61,15.85,0.513,84.67,C
apple,65.9,88.62,82.82,13.81,0.396,81.31,B
carrot,100.0,92.42,70.27,31.45,0.008,67.62,A
apple,64.4,81.39,70.29,31.19,0.412,74.23,C
banana,82.87,78.08,73.5,24.75,0.283,64.59,B
cucumber,72.17,81.96,63.5,41.9,0.319,72.49,B
apple,76.32,80.74,74.75,24.13,0.249,81.51,A
cucumber,59.55,69.39,48.02,57.17,0.417,61.23,C
banana,100.0,74.69,78.69,26.44,0.0,73.96,B
carrot,80.69,100.0,80.82,28.82,0.253,92.25,A
orange,93.9,64.02,100.0,1.2,0.0,80.31,C
cucumber,87.81,79.16,87.44,7.46,0.057,82.94,B
orange,72.77,96.73,62.4,39.48,0.276,71.78,B
banana,58.21,82.14,100.0,3.48,0.332,75.52,C
tomato,76.56,95.7,61.91,40.19,0.277,76.56,B
orange,71.61,82.3,84.68,15.23,0.333,81.18,B
banana,100.0,74.74,66.9,32.7,0.003,68.89,B
cucumber,77.74,81.52,78.8,7.06,0.317,79.42,A
banana,57.33,76.35,65.24,43.58,0.397,74.59,C
cucumber,68.24,76.57,72.07,35.63,0.223,67.74,B
banana,61.69,72.26,50.17,45.43,0.282,56.12,C
tomato,96.01,86.84,79.0,14.98,0.0,77.23,A
apple,91.02,92.83,86.09,9.48,0.091,87.85,A
carrot,74.98,100.0,47.81,50.78,0.311,66.57,C
carrot,70.06,79.32,50.46,53.11,0.333,67.43,C
tomato,64.94,83.04,61.61,36.4,0.458,72.8,C
orange,80.71,65.78,56.82,36.94,0.171,65.98,C
orange,86.68,88.28,58.42,38.33,0.147,70.2,C
apple,84.62,77.81,79.62,29.94,0.145,84.61,B
carrot,86.39,64.39,58.37,36.63,0.093,60.93,C
tomato,96.83,85.7,68.87,18.64,0.035,77.41,B
apple,80.74,100.0,95.85,8.86,0.144,95.36,A
apple,66.37,88.01,81.71,11.76,0.396,85.37,B
cucumber,52.06,81.38,80.5,25.34,0.462,85.08,C
tomato,58.27,65.02,93.96,13.21,0.433,86.97,C
apple,93.85,90.2,61.42,48.97,0.088,73.88,B
cucumber,81.85,61.95,87.19,7.08,0.2,71.96,C
banana,74.03,72.92,73.42,37.92,0.329,74.94,B
cucumber,90.66,95.56,62.72,36.81,0.002,84.76,B
tomato,100.0,82.96,42.0,61.65,0.0,59.16,C
tomato,81.82,76.14,65.61,35.15,0.161,65.33,B
apple,73.01,86.08,73.15,18.37,0.319,65.92,B
cucumber,68.7,83.78,84.99,21.77,0.277,87.32,B
cucumber,80.94,61.46,100.0,0.0,0.212,82.68,C
cucumber,70.58,91.93,51.03,48.57,0.266,68.09,C
cucumber,84.43,94.93,70.51,34.18,0.158,78.26,A
banana,73.51,73.64,82.86,18.55,0.185,69.99,B
tomato,84.37,72.22,80.83,23.85,0.093,69.47,B
orange,77.99,86.22,69.29,25.1,0.195,71.8,B
carrot,91.25,72.68,93.5,4.1,0.035,80.96,B
tomato,76.19,79.96,89.2,0.0,0.296,88.68,B
orange,96.78,81.37,92.22,0.0,0.068,82.94,A
orange,61.14,82.07,62.81,39.45,0.298,61.8,C
carrot,98.59,92.85,59.21,40.77,0.065,78.12,C
banana,94.43,73.23,76.5,23.39,0.042,72.92,B
carrot,79.09,82.41,59.23,45.59,0.16,69.73,C
cucumber,83.37,56.57,90.25,5.68,0.227,71.02,C
orange,77.27,100.0,71.56,35.87,0.229,87.86,A
banana,90.72,73.77,60.26,35.91,0.098,65.91,B
carrot,88.65,97.66,60.39,35.21,0.042,89.17,B
orange,85.2,65.92,75.98,27.07,0.135,76.33,C
orange,100.0,70.64,59.65,35.09,0.08,70.35,C
apple,78.55,72.2,90.24,7.48,0.202,84.26,B
cucumber,75.18,79.18,76.17,28.6,0.331,80.6,B
cucumber,75.0,73.51,86.46,14.56,0.179,78.34,B
tomato,76.76,75.87,99.71,3.17,0.301,89.11,B
banana,63.95,82.14,76.21,15.59,0.334,77.56,C
banana,84.2,87.54,66.7,36.11,0.149,62.77,B
apple,94.18,61.82,77.8,31.71,0.02,69.82,C
carrot,58.44,100.0,74.67,25.61,0.483,90.64,C
banana,68.29,87.94,66.01,21.28,0.314,69.58,B
cucumber,100.0,84.12,61.52,34.29,0.0,67.32,B
tomato,100.0,90.72,74.53,22.88,0.0,92.92,A
apple,75.17,100.0,98.3,0.0,0.215,95.8,A
apple,77.1,100.0,58.76,42.61,0.26,79.37,C
carrot,79.65,69.46,77.7,25.36,0.22,76.43,C
banana,92.05,82.86,57.25,39.15,0.068,71.32,C
banana,70.83,70.77,56.99,33.1,0.28,56.53,C
banana,72.09,65.97,82.08,22.37,0.252,71.84,C
tomato,86.06,73.43,63.48,43.7,0.184,71.46,B
apple,48.34,98.25,82.27,23.79,0.536,90.5,C
cucumber,73.87,86.41,71.01,34.2,0.182,76.0,B
tomato,68.61,79.14,61.88,40.14,0.277,69.58,B
tomato,90.73,73.61,88.62,16.32,0.145,81.82,B
orange,74.54,94.65,81.2,13.55,0.25,95.06,B
banana,100.0,99.74,88.56,3.9,0.024,87.94,A
banana,81.59,88.28,90.45,12.53,0.211,84.44,A
banana,76.43,63.91,43.95,60.5,0.198,58.29,C
banana,68.71,89.08,65.42,23.5,0.319,74.9,B
orange,71.4,100.0,51.59,50.71,0.236,80.33,C
banana,83.69,70.66,63.75,41.81,0.252,69.61,B
apple,64.54,86.07,100.0,0.61,0.428,89.33,C
apple,87.29,86.77,63.74,31.41,0.176,81.21,B
cucumber,100.0,100.0,78.15,19.98,0.068,92.64,A
carrot,62.5,87.9,73.16,26.68,0.429,84.33,C
cucumber,97.95,58.82,80.05,24.11,0.0,66.16,C
tomato,78.33,100.0,100.0,0.0,0.243,100.0,A
apple,83.81,86.79,80.86,29.27,0.217,78.52,A
apple,91.39,85.78,94.1,7.03,0.096,90.55,A
apple,47.73,81.04,65.31,27.57,0.594,75.69,C
apple,69.53,85.55,91.86,3.18,0.304,93.05,B
cucumber,48.96,81.31,69.13,30.07,0.485,75.91,C
carrot,73.14,85.5,100.0,0.0,0.359,92.78,B
cucumber,100.0,91.0,80.91,18.69,0.0,86.34,A
apple,77.8,78.2,71.99,33.97,0.283,71.76,B
tomato,67.97,86.55,100.0,6.88,0.258,91.96,B
banana,73.99,100.0,53.24,37.05,0.219,78.06,C
orange,87.31,87.25,94.81,0.0,0.186,89.47,A
tomato,58.15,82.06,79.78,27.15,0.339,81.07,C
apple,61.72,88.07,88.44,19.29,0.356,92.89,C
orange,53.35,89.35,91.34,7.11,0.406,95.06,C
banana,60.01,79.86,75.36,28.94,0.369,74.19,C
apple,93.1,100.0,51.88,50.01,0.015,81.03,C
carrot,63.92,73.9,66.57,32.97,0.377,72.66,C
cucumber,58.05,90.73,75.15,31.82,0.384,74.93,C
tomato,77.49,97.55,78.58,20.23,0.182,96.85,A
orange,67.12,88.84,46.3,61.34,0.36,72.07,C
banana,86.37,80.07,58.99,40.17,0.088,71.96,C
cucumber,100.0,86.46,90.79,7.42,0.0,91.0,A
tomato,72.2,85.23,59.02,35.69,0.31,76.56,C
carrot,88.06,75.61,76.26,32.24,0.16,79.91,B
orange,100.0,73.55,60.23,35.44,0.0,55.12,B
apple,69.83,91.41,81.64,14.76,0.331,90.14,B
apple,66.47,76.08,40.39,53.06,0.298,58.61,C
carrot,70.3,67.3,78.74,23.82,0.317,73.08,C
carrot,54.88,74.56,69.48,28.1,0.455,79.15,C
cucumber,63.19,90.14,86.24,8.92,0.411,87.39,C
orange,56.85,87.46,79.47,19.16,0.43,79.87,C
carrot,77.35,84.0,81.71,11.36,0.182,71.81,A
banana,86.47,67.45,78.12,24.1,0.165,66.77,C
carrot,100.0,100.0,91.8,10.23,0.0,99.49,A
apple,75.63,88.73,65.87,33.09,0.252,78.53,B
apple,69.31,65.88,100.0,14.94,0.329,76.32,C
apple,66.4,88.11,97.46,0.0,0.33,93.76,B
tomato,72.85,63.23,85.94,20.81,0.267,76.61,C
apple,70.88,71.85,92.42,9.9,0.316,89.65,B
apple,69.72,83.9,66.97,37.73,0.293,70.47,B
cucumber,78.99,84.04,90.95,11.4,0.233,89.1,A
orange,67.26,85.47,70.67,39.47,0.395,81.23,B
tomato,83.68,80.94,55.82,42.88,0.168,69.53,C
carrot,91.82,73.69,65.07,43.63,0.12,67.43,B
carrot,76.39,80.77,76.51,26.33,0.363,79.59,A
tomato,52.7,76.18,95.66,6.75,0.254,89.29,C
orange,100.0,58.05,100.0,0.0,0.047,78.98,C
banana,84.69,95.81,81.82,21.69,0.132,79.51,A
apple,88.38,100.0,94.07,0.0,0.04,92.81,A
carrot,78.66,86.72,53.12,51.55,0.243,67.18,C
cucumber,75.41,58.6,70.68,29.36,0.254,66.54,C
cucumber,74.03,85.43,92.03,7.39,0.276,87.8,B
carrot,68.3,88.27,67.12,35.2,0.318,76.18,B
apple,70.38,62.25,82.13,19.26,0.339,69.53,C
tomato,100.0,77.44,62.0,32.04,0.0,77.38,B
tomato,87.01,71.25,100.0,0.0,0.116,92.81,B
orange,87.88,100.0,79.98,17.64,0.091,80.75,A
cucumber,95.17,89.19,76.32,17.71,0.06,87.82,A
carrot,84.46,84.0,63.25,41.95,0.0,75.54,B
orange,55.37,79.1,75.87,21.35,0.498,79.85,C
carrot,80.28,91.57,76.27,42.81,0.205,84.89,A
carrot,69.85,95.77,54.63,32.42,0.303,82.05,C
cucumber,78.64,77.97,46.26,56.45,0.247,53.21,C
cucumber,89.49,95.59,85.34,18.59,0.131,94.8,A
orange,50.72,63.99,64.22,35.0,0.512,65.73,C
apple,95.23,71.53,79.82,15.1,0.038,77.28,B
carrot,35.0,100.0,85.06,11.36,0.746,90.79,C
apple,70.69,100.0,74.32,26.58,0.353,90.09,B
cucumber,77.18,95.32,100.0,1.9,0.234,98.52,A
cucumber,69.01,78.66,51.4,41.5,0.284,64.75,C
cucumber,100.0,88.43,61.41,34.23,0.069,80.55,B
orange,71.36,95.5,60.11,42.25,0.4,78.83,B
carrot,66.37,86.92,68.48,23.16,0.371,83.29,B
apple,72.34,70.46,73.6,23.02,0.226,81.49,B
banana,85.0,88.87,90.13,14.49,0.129,90.86,A
cucumber,84.58,86.1,69.88,22.15,0.162,76.97,B
tomato,49.64,88.09,91.45,23.72,0.484,87.08,C
cucumber,81.13,84.43,63.02,35.93,0.09,78.36,B
apple,66.44,81.58,53.17,43.33,0.322,67.32,C
cucumber,99.59,90.79,91.39,17.28,0.033,90.91,A
orange,93.14,94.88,86.38,4.9,0.027,89.25,A
cucumber,77.68,95.64,97.04,10.15,0.283,91.16,A
apple,85.24,74.71,49.61,48.66,0.214,64.47,C
orange,80.66,100.0,78.84,21.29,0.129,94.97,A
carrot,70.47,74.24,96.5,10.45,0.352,83.56,B
apple,77.1,91.39,100.0,2.21,0.328,100.0,A
tomato,74.48,91.94,100.0,11.99,0.315,96.1,B
orange,86.64,100.0,82.94,19.79,0.136,89.83,A
apple,75.57,83.63,100.0,0.0,0.247,87.49,A
cucumber,98.5,100.0,79.25,24.19,0.007,92.27,A
carrot,82.71,82.7,78.2,24.51,0.158,79.24,A
banana,100.0,67.55,55.85,38.41,0.0,66.18,C
cucumber,86.87,84.06,84.46,11.38,0.119,84.16,A
tomato,60.58,68.54,88.23,13.25,0.425,69.19,C
carrot,55.75,89.96,31.54,75.81,0.351,64.97,C
apple,93.73,100.0,39.63,64.54,0.0,71.95,C
carrot,74.9,83.56,61.41,43.27,0.179,78.69,B
tomato,56.96,100.0,74.92,36.52,0.491,83.47,C
carrot,76.73,83.45,100.0,2.63,0.242,90.73,A
apple,97.57,82.04,69.68,26.93,0.0,68.85,B
banana,66.74,99.98,72.69,31.53,0.209,89.18,B
cucumber,70.78,84.17,68.07,19.19,0.338,77.33,B
banana,73.29,70.41,52.48,48.86,0.348,62.46,C
cucumber,81.38,81.36,89.82,13.82,0.037,88.32,A
cucumber,62.95,64.94,72.98,29.48,0.288,72.48,C
apple,78.7,71.59,60.33,45.83,0.137,71.28,B
tomato,75.52,80.85,48.67,50.45,0.275,58.08,C
tomato,79.34,74.27,89.67,0.0,0.224,90.07,B
carrot,99.6,86.68,71.17,25.01,0.0,81.64,A
banana,89.36,100.0,75.01,16.92,0.039,91.39,A
cucumber,77.1,92.52,67.46,37.52,0.221,76.33,B
apple,60.04,100.0,74.46,29.41,0.373,81.97,C
orange,74.49,95.21,67.67,27.11,0.263,83.94,B
banana,83.31,89.73,87.51,5.57,0.119,83.2,A
apple,58.02,91.55,80.64,19.84,0.29,96.37,C
banana,100.0,64.61,63.0,23.78,0.018,58.3,C
orange,61.9,65.53,88.44,15.83,0.472,73.56,C
